Year,Month,Day,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25
2013,4,25,0.02,0.01,0.04,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,4,28,0,0,0,0.02,0.01,0.02,0.01,0,0.02,0,0,0.03,0,0,0,0,0.02,0.01,0.03,0,0.01,0,0,0,0
2013,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,2,0.02,0,0.04,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,3,0.05,0.01,0.01,0.04,0,0,0.03,0,0.02,0,0,0.02,0.02,0,0.02,0,0,0.02,0,0.14,0,0,0,0.02,0.02
2013,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,9,0.22,0.11,0.21,0.28,0.23,0.28,0.37,0.23,0.4,0.73,0.26,0.67,0.78,0.5,0.31,0.53,0.66,0.72,0.58,0.7,0.69,0.59,0.5,0.64,0.59
2013,5,10,0.15,0.26,0.15,0.11,0.1,0.09,0.12,0.17,0.22,0.1,0.04,0.05,0.05,0.1,0.01,0.02,0,0.01,0.01,0.01,0.01,0.03,0.01,0.02,0.03
2013,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,17,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0.01,0.06
2013,5,18,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.03
2013,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,20,0.75,0.53,1.09,0.55,0.98,0.83,0.76,0.66,0.98,1.06,0.86,1.3,1.13,0.64,0.73,0.98,1.26,1.2,0.59,1.05,1.08,0.76,0.62,0.8,0.8
2013,5,21,0.18,0.34,0.47,0.91,0.71,0.5,0.22,0.45,0.21,0.43,0.47,0.21,0.31,0.8,0.51,0.21,0.61,1.05,0.37,0.4,0.3,0.24,0.25,0.21,0.28
2013,5,22,1.16,0.99,2.01,1.2,1.65,0.94,0.76,0.85,0.73,0.4,0.24,0.56,0.73,0.54,0.21,0.47,0.67,1.21,1.08,0.56,1.47,0.06,0.01,0.26,0.07
2013,5,23,0,0.03,0.03,0.03,0,0.1,0.02,0,0,0,0.46,0.27,0.03,0,0.21,0.25,0.36,0.4,0.17,0.05,0.05,0.08,0.19,0.02,0.05
2013,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,26,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0.09,0.01,0.01,0,0.06,0.07
2013,5,27,0.08,0,0.13,0.25,0.04,0.08,0.01,0.01,0.06,0,0.04,0.23,0.17,0.1,0.33,0.5,0.74,0.64,0.46,0.53,0.47,0.42,0.41,0.6,0.66
2013,5,28,0.18,0.09,0.14,0.23,0.15,0.2,0.45,1.03,1.22,1.84,1.52,2.42,2.08,1.73,1.86,1.46,1.18,1.49,1.3,0.77,0.87,1.49,0.85,0.93,0.72
2013,5,29,0,0.02,0.02,0.01,0,0.02,0.02,0.04,0.03,0.05,0.06,0.02,0.03,0.04,0.09,0.12,0.05,0.04,0.05,0.03,0.03,0.02,0.05,0.14,0.05
2013,5,30,0.15,0.24,0.65,0.95,0.69,0.54,0.02,0.49,0.25,0.24,0,0.05,0.07,0.3,0.15,0.12,0.06,0.12,1.27,0.14,0.09,0.56,1.82,0.11,2.22
2013,5,31,0.24,0.18,0.32,0.18,0.19,0.21,0.1,0.17,0.36,0.07,0.19,0.27,0.12,0.22,0.14,0.22,0.2,0.25,0.3,0.29,0.23,0.22,0.27,0.2,0.38
2013,6,1,0.12,0.07,0.33,0.54,0.45,0.56,0.51,0.78,0.68,0.78,0.49,0.21,0.82,0.27,0.15,0.44,0.73,0.37,0.68,0.67,0.24,0.58,0.35,0.51,0.2
2013,6,2,0.01,0.01,0,0,0,0.01,0.03,0,0,0,0,0,0.04,0,0,0.02,0,0,0,0,0,0.01,0.01,0.03,0
2013,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,6,5,0.03,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.02,0,0.02,0,0.02,0
2013,6,6,0.26,0.22,0.12,0.12,0.09,0.39,0.06,0.18,0.12,0.04,0.11,0.05,0.02,0,0.07,0.05,0.04,0.01,0.04,0.03,0.03,0.05,0.09,0.04,0.09
2013,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,6,9,0.02,0,0,0,0,0,0,0.01,0,0,0.06,0,0,0,0.02,0.01,0,0,0.01,0.07,0,0,0,0,0
2013,6,10,0.24,0.13,0.15,0.24,0.26,0.22,0.2,0.69,0.31,0.31,0.34,0.71,0.73,0.86,0.4,0.53,1.31,0.95,0.57,0.84,0.95,0.8,0.29,0.54,0.28
2013,6,11,0,0,0,0,0,0,0,0.22,0,0,0.05,0.02,0.21,0.23,0.04,0.08,0,0.01,0.18,0,0,0.24,0.01,0,0.01
2013,6,12,0.59,0.52,0.67,0.45,0.31,0.21,0.2,0.22,0.09,0,0.74,0.52,0.18,0.25,1.68,1.42,0.83,0.62,0.51,1.67,1.22,1.5,1.32,1.24,1.49
2013,6,13,0,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0,0,0,0.02,0,0.03,0.01,0.02,0,0,0.05,0.01,0,0.05,0.03,0.05
2013,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,6,15,0.13,0.1,0.23,0.18,0.11,0.08,0.12,0.05,0.11,0.12,0.05,0.07,0.01,0,0,0,0.02,0.03,0.01,0.1,0,0,0.01,0.24,0.19
2013,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,6,17,0.02,0,0,0,0.01,0.05,0.01,0.09,0.05,0,0.13,0.01,0.03,0,0.01,0.01,0.01,0.03,0.16,0.01,0.01,0.01,0,0,0
2013,6,18,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.01,0,0,0
2013,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,6,21,0.64,0.47,0.66,0.48,1.04,0.56,0.14,0.75,0.57,0.19,0.13,0.04,0.08,0.01,0.07,0.09,0.07,0.06,0.17,0.09,0.01,0.07,0.04,0.08,0
2013,6,22,0.03,0.15,0.06,0.08,0.09,0.03,0,0.07,0,0,0.01,0,0,0,0.01,0,0.02,0.02,0,0,0,0,0,0,0
2013,6,23,0,0,0,0.01,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.02,0,0
2013,6,24,0.16,0,0.12,0.15,0.09,0.12,0.12,0.02,0.1,0.09,0.16,0.05,0.09,0.11,0.39,0.42,0.42,0.17,0.27,0.41,0.27,0.3,0.18,0.24,0.09
2013,6,25,0.28,0.52,0.07,0.04,0.11,0.05,0.08,0.15,0.25,0.03,0.04,0.01,0.03,0.1,0.01,0,0,0.01,0.53,0,0,0,0.01,0,0.01
2013,6,26,4.64,2.99,3.44,3.26,0.79,2.04,2.78,0.25,0.36,1.22,0.19,0.12,0.55,0.74,0.49,0.34,0.24,0.16,0.39,0.28,0.2,0.24,0.31,0.1,0.14
2013,6,27,0.16,0,0.15,0.05,0.8,0.2,0,0,0.49,0.2,0,0,1.04,0.1,0,0,0,0.26,0.4,0,0,0,0.11,0,0
2013,6,28,0,0,0.01,0.06,0.01,0.04,0,0.25,0.03,0.08,0.01,0.18,0.11,0,0.02,0.29,0,0.23,0.3,0.07,0,0.04,0.08,0.27,0.01
2013,6,29,0.02,0,0,0,0,0.02,0.01,0,0,0,0.01,0.02,0.05,0,0.01,0,0,0,0,0,0,0,0.03,0.02,0.02
2013,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,3,0.01,0.01,0.01,0.08,0,0,0.01,0,0.01,0.36,0.01,0.05,0.01,0,0.01,0,0.01,0,0.03,0,0,0,0.01,0,0.01
2013,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,8,0.17,0.26,0.29,0.69,0.25,0.36,0.51,0.72,0.38,0.51,1.66,0.81,0.7,0.41,0.48,0.64,1.64,1.82,1.16,0.27,0.36,0.64,1.45,0.32,0.54
2013,7,9,0,0.08,0,0.11,0,0.1,0.02,0,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0.02,0.35,0.46,0.62,0.01,0
2013,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,15,0,0,0.17,0.01,0,0.44,0,0,0.05,0,0.43,0.01,0,0,0,0.15,0.07,0,0,0,0,0,0,0,0
2013,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.43,0,0,0,0.04,0,0,0,0.02,0
2013,7,19,0.26,0,0.65,0.27,0.45,0.37,0.11,0.45,0.46,0.09,0,0,0,0,0,0.01,0,0,0,0.09,0.01,0.02,0.04,0.06,0
2013,7,20,0.02,0,0,0.12,0.06,0.11,0.02,0.08,0.04,0.03,0.06,0.06,0.02,0.01,0.09,0.02,0.08,0.05,0.06,0.03,0,0.01,0,0.03,0.01
2013,7,21,0.35,0.5,0,0.04,0.02,0.03,0,0.01,0,0.28,0.01,0.01,0.01,0,0.02,0,0,0.02,0.01,0.03,0,0.02,0.01,0.04,0.01
2013,7,22,0,0.01,0,0,0,0,0,0,0,0.01,0.07,0,0.01,0,0.02,0,0,0,0,0.18,0,0.03,0,0.09,0
2013,7,23,0.03,0.01,0.01,0.02,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0.01,0.01,0.02,0.01,0.05
2013,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,25,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.03,0.01,0.02,0,0.02,0
2013,7,26,0.47,0.11,0.23,0.2,0.31,0.14,0.04,0.02,0.03,0,0.05,0.01,0,0,0.1,0.17,0,0,0,0.02,0,0.01,0,0.04,0.01
2013,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,28,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.01,0,0,0,0.05,0,0.01,0.01,0.02,0.01
2013,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,30,0.01,0.01,0,0.04,0.01,0.03,0,0,0.01,0,0,0.01,0,0,0,0,0,0.01,0.01,0,0,0.02,0,0,0
2013,7,31,0.08,0.02,0.14,0.16,0.34,0.24,0.07,0.23,0.32,0.39,0.23,0.13,0.32,0.22,0.04,0.05,0.05,0.08,0.15,0.2,0.04,0.02,0.18,0.07,0.07
2013,8,1,0,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.04,0.02,0.02,0.01,0,0.01,0.02,0.01,0.03,0.03
2013,8,2,0.28,0.23,0.51,0.19,0.54,0.46,0.71,0,0.51,0.73,0.22,0.3,0.75,1.12,0.37,0.48,1.14,2.36,0.44,1.28,1.02,0.78,0.66,0.63,1.41
2013,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8,5,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0.01,0,0.02,0,0,0
2013,8,6,0.01,0.08,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.07,0,0,0,0,0,0,0,0,0
2013,8,7,0,0,0,0,0,0.01,0,0.22,0.19,0.68,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0
2013,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8,9,0.05,0.01,0,0.01,0,0,0.02,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2013,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8,11,0.03,0.01,0,0.1,0.01,0.09,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0
2013,8,12,0.41,0.15,0,0.17,0.06,0.22,0,0.08,0.47,0.09,0.19,0.17,0.03,0,0,0.04,0,0,0.02,0,0,0.01,0.01,0.15,0.82
2013,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8,21,0,0,0,0,0,0,0.01,0.01,0,0,0.05,0.13,0,0,0,0.14,0,0.02,0,0.41,0,0.03,0,0.04,0
2013,8,22,0.15,0.04,0.11,0.24,0.29,0.25,0.03,0.41,0.2,0.1,0.98,0.38,0.25,0.02,0.38,0.34,0.4,0.19,0.56,0.33,0.22,0.15,0.12,0.32,0.54
2013,8,23,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.02,0.01,0,0,0.02,0,0.01,0.01,0.02,0,0,0,0.01,0,0
2013,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
